Council District,Pop2010,White_pop,Black_pop,Ameri_es_pop,Asian_pop,Hawn_pi_pop,Hispanic_pop,Other_pop,Multi_pop,Male_pop,Female_pop,Age_under5Ê,Age_5_9,Age_10_14,Age_15_19,Age_20_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85_up,Median_age,Med_age_male,Med_age_female,Households,Avg_hh_size,HouseholdsHsehld_1_m,Hsehld_1_f,Marhh_chd,Marhh_no_c,Mhh_child,Fhh_child,Families,Avg_family_size,Housing_units,Vacant,Owner_occ,Renter_occ
1 - Gilbert Cedillo,"245,216.22","90,857","7,759.13","2,991.73","43,397.31",243.41,"172,971.55","88,016.11","11,951.53","125,733.82","119,482.4","17,684.82","15,825.97","16,274.35","18,528.22","22,124.94","43,690.39","36,967.18","29,490.28","21,779.51","12,261.12","7,507.17","3,082.27",23.8,23.23,24.46,"79,014.81",2.29,"9,919.21","9,326.98","17,472.38","12,582.79","3,923.03","8,697.64","51,391.85",2.68,"85,219.33","6,204.52","15,219.58","63,795.23"
10 - Herb J. Wesson Jr.,"261,297.85","68,458.12","67,087.07","2,307.88","43,148.34",308.11,"126,872.43","68,188.27","11,800.07","127,383.22","133,914.63","17,464.54","15,872.99","16,002.86","17,760.48","20,202.21","45,774.95","40,715.42","35,563.92","25,890.49","14,316.31","8,077.55","3,656.14",26.7,25.47,27.8,"95,915.92",2.05,"13,147.03","16,341.94","17,301.48","14,284.08","3,736.82","10,927.24","57,677.78",2.52,"103,637.46","7,721.54","21,764.3","74,151.62"
11 - Mike Bonin,"250,726.93","174,020.7","13,569.6","1,214.43","30,132.14",521.02,"47,243.32","18,894.8","12,374.24","122,850.8","127,876.13","12,912.21","10,819.57","10,293.89","12,293.09","18,079.32","47,888.78","41,225.72","34,581.38","29,208.43","17,584.13","10,585.69","5,254.73",28.67,28.41,28.99,"113,864.22",1.61,"19,434.85","22,484.17","17,305.63","24,708.3","1,874.2","4,632.45","55,447.15",2.07,"123,048.13","9,183.91","50,753.74","63,110.49"
12 - Mitchell Englander,"258,715.95","158,939.64","11,239.45","1,193.56","46,815.27",374.43,"70,827.63","27,943.83","12,209.77","126,366.09","132,349.86","12,795.71","14,149.84","16,409.15","20,221.5","19,350.71","30,225.42","34,815.25","40,495.71","33,019.38","19,200.82","12,678.59","5,353.88",33.28,32.21,34.14,"86,732.07",2.44,"7,206.04","9,337.5","22,493.92","26,040.98","2,137.22","5,223.44","63,921.59",2.72,"90,415.8","3,683.73","60,274.21","26,457.86"
13 - Mitch O'Farrell,"247,142.04","113,391.23","9,109.58","2,320.07","43,740.54",315.72,"133,038.67","66,020.53","12,244.39","126,882.12","120,259.92","13,604.88","12,094.61","13,019.49","15,804.39","21,508.48","50,084.22","40,330.45","32,614.28","23,706.25","13,312.35","8,003.2","3,059.46",25.73,25.2,26.39,"94,906.83",1.93,"17,101.47","15,325.45","15,096.73","14,479.35","3,100.5","7,569.9","49,457.04",2.48,"102,632.78","7,725.95","13,638.56","81,268.27"
14 - Jose Huizar,"248,489.1","113,548.42","15,693.05","2,816.77","31,591.55",243.26,"167,529.97","74,188.21","10,407.84","131,007.64","117,481.46","15,760.04","14,554.61","15,486.53","19,163.25","20,876.63","42,347.84","37,758.89","32,322.09","23,764.88","13,627.96","8,980.92","3,845.47",24.12,23.46,24.78,"79,205.66",2.23,"13,910.6","11,292.14","16,047.25","13,208","3,017.05","7,495.71","47,273.89",2.6,"85,992.89","6,787.23","26,212.29","52,993.37"
15 - Joe Buscaino,"251,283.55","108,150.7","32,853.03","2,213.4","16,305.7","1,372.82","156,217.43","77,268.88","13,119.01","124,039.2","127,244.35","20,951.05","20,139.92","20,021.08","21,246.99","19,161.49","36,642.44","35,214.92","32,324.88","22,801.99","12,505.67","7,363.79","2,909.33",21.89,21.17,22.6,"76,426.3",2.27,"7,797","8,477.11","19,513.33","13,730.91","3,716.83","11,151.98","55,863.03",2.55,"81,562.44","5,136.14","31,668.19","44,758.11"
2 - Paul Krekorian,"256,691.84","158,999.91","11,463.05","1,526.06","17,554.92",330.51,"115,511.82","54,814.59","12,002.8","128,140.11","128,551.73","16,368.36","14,641.58","15,090.27","16,664.84","19,976.89","46,189","40,854.66","35,978.13","26,225.61","13,205.59","7,867.6","3,629.32",26.76,26.23,27.29,"94,798.61",2.14,"13,381.42","14,497.72","19,249.41","17,423.32","3,124.5","7,409.1","55,314.34",2.57,"101,135.77","6,337.16","33,612.25","61,186.36"
3 - Bob Blumenfield,"257,183.29","155,558.89","11,669.04","1,430.11","30,404.92",324.33,"95,591.32","44,526.13","13,269.87","127,155.91","130,027.38","16,399.49","15,840.21","16,111.95","17,034.43","17,736.08","38,862.54","38,285.74","37,017.52","28,210.38","15,537.41","10,709.81","5,437.74",30.76,29.75,31.71,"89,478.86",2.38,"9,855.75","11,731.76","21,684.98","21,069.27","2,985.33","6,800.72","60,784.85",2.74,"95,650.77","6,171.92","46,723.56","42,755.29"
4 - David Ryu,"244,117.22","169,640.22","12,524.23",730.64,"36,798.67",225.96,"36,760.9","14,169.79","10,027.72","122,079.73","122,037.49","11,662.77","9,700.75","8,469.77","8,369.82","15,367.26","53,093.24","45,435.78","35,228.04","27,137.15","15,193.33","9,422.17","5,037.14",24.4,24.31,24.45,"120,990.09",1.3,"24,642.9","25,920.78","15,361.81","21,752.67","1,844.77","4,538.83","50,875.22",1.75,"130,367.28","9,377.2","42,201.31","78,788.78"
5 - Paul Koretz,"252,453.38","182,957.52","9,822.6",675.02,"36,015.76",271.29,"27,548.05","10,586.29","12,124.89","121,416.86","131,036.52","12,378.54","10,419.69","9,387.91","15,191.39","27,566.68","47,034.52","36,371.45","30,079.33","27,178.68","17,181.84","12,134.48","7,528.85",27.78,27.39,28.19,"112,607.59",1.54,"18,770.28","24,057.98","16,782.41","23,726.61","1,320.25","3,365.03","51,937.06",2.02,"121,480.65","8,873.06","45,501.5","67,106.09"
6 - Nury Martinez,"262,111.74","123,621.41","9,843.61","2,163.88","25,023.59",321.65,"183,836.62","89,037.14","12,100.46","132,402.48","129,709.26","20,967.09","19,062.39","19,861.52","21,526.34","21,900.29","43,166.35","39,528.46","33,564.51","22,435.64","11,045.29","6,287.59","2,766.26",24.31,23.64,25.04,"72,676.94",2.74,"6,382.93","6,290.65","21,839.46","12,699.56","4,086.03","8,670.31","54,848.39",2.97,"77,003.13","4,326.18","28,518","44,158.94"
7 - Monica Rodriguez,"256,172.52","134,061.58","10,153.12","2,312.73","15,486.86",280,"176,836.41","83,016.03","10,862.2","127,896.95","128,275.57","19,195.84","18,705.85","19,650.27","21,673.48","20,085.32","37,674.52","35,872.67","34,499.54","24,788.26","13,347.86","7,536.19","3,142.71",25.29,24.55,26.1,"67,871.36",2.88,"4,860.45","5,525.02","21,566.59","14,895.57","3,410.85","7,206.53","53,839.42",3.04,"71,789.92","3,918.56","41,840.31","26,031.06"
